,Geo_Place,Geo_Country,English_Country
66,"Tanjung Priok, Jakarta Utara, Daerah Khusus Ibukota Jakarta, Indonesia", Indonesia, Indonesia
67,"北京市, 东城区, 北京市, 100010, China 中国", China 中国, China
68,日本,日本,Japan
70,"exo, Avenue de la Gare, Mascouche, Les Moulins, Lanaudière, Québec, J7K3B5, Canada", Canada, Canada
71,"酒泉卫星发射中心, S315, 巴彦陶来苏木, 额济纳旗, Алшаа 阿拉善盟, 内蒙古自治区, China 中国", China 中国, China
72,"Chihuahua, México", México,Mexico
73,"California, United States of America", United States of America, United States of America
74,Indonesia,Indonesia,Indonesia
75,"Atlántico, Colombia", Colombia, Colombia
79,"All Over The World, 4-44, Ziekerstraat, Stadscentrum, Nijmegen-Centrum, Nijmegen, Gelderland, Nederland, 6511 LH, Nederland", Nederland,Netherlands
80,"Loris, Horry County, Indian Land, United States of America", United States of America, United States of America
83,বাংলাদেশ,বাংলাদেশ,Bangladesh
84,"กรุงเทพมหานคร, เขตพระนคร, 10200, ประเทศไทย", ประเทศไทย, Thailand
85,"Spook City, Saguache County, Colorado, United States of America", United States of America, United States of America
86,"New Mexico, United States of America", United States of America, United States of America
87,"Pharmacy, Columbia, Δήμος Γερμασόγειας, Λεμεσός, Κύπρος, 4045, Κύπρος", Κύπρος, Cyprus
88,"Department of Motor Vehicles, 3201, Horseless Carriage Drive, Norco, Riverside County, California, 92860, United States of America", United States of America, United States of America
89,"Sheffield, Yorkshire and the Humber, England, United Kingdom", United Kingdom, United Kingdom
90,Europa,Europa,Europa
91,"Srinagar, Srinagar (South), Srinagar, Jammu and Kashmir, 190010, India", India, India
92,Canada,Canada,Canada
93,臺灣,臺灣,Taiwan
94,"London, Greater London, England, SW1A 2DX, United Kingdom", United Kingdom, United Kingdom
96,United States,United States,United States
97,"Barranquilla, Atlántico, 080006, Colombia", Colombia, Colombia
100,"Tampere, Tampereen seutukunta, Pirkanmaa, Manner-Suomi, Suomi", Suomi,Finland
101,भारत - India,भारत - India,India
103,"Wolverton, Milton Keynes, South East, England, MK12 5JB, United Kingdom", United Kingdom, United Kingdom
104,"Rajkot, Rajkot Taluka, Rajkot, Gujarat, 360001, India", India, India
105,"Manila, Metro Manila, Philippines", Philippines, Philippines
106,"Delta, Metro Vancouver Regional District, British Columbia, Canada", Canada, Canada
107,"Saturnus, Södermalm, Södermalms stadsdelsområde, Stockholm, Stockholms kommun, Stockholms län, Svealand, 118 46, Sverige", Sverige, Sweden
108,"Memphis, Shelby County, Tennessee, United States of America", United States of America, United States of America
109,"Utrecht, Nederland", Nederland,Netherlands
110,"Boise, Ada County, Idaho, United States of America", United States of America, United States of America
111,"City of Melbourne, Victoria, Australia", Australia, Australia
112,España,España,Spain
113,"Owatonna, Steele County, Minnesota, 55060, United States of America", United States of America, United States of America
115,"Heaven, Villiers Street, St Clement Danes, Covent Garden, City of Westminster, London, Greater London, England, WC2N 6NG, United Kingdom", United Kingdom, United Kingdom
116,United Kingdom,United Kingdom,United Kingdom
117,United Kingdom,United Kingdom,United Kingdom
118,"Porto, Área Metropolitana do Porto, Norte, 4000-274, Portugal", Portugal, Portugal
119,"Seattle, King County, Washington, United States of America", United States of America, United States of America
120,"In The Kitchen, Mulberry Way, Strip District, Bauerstown, Pittsburgh, Allegheny County, Pennsylvania, 15222, United States of America", United States of America, United States of America
121,日本,日本,Japan
122,"Wenatchee, Chelan County, Washington, United States of America", United States of America,United States of America
123,"Badlapur, Jaunpur, Uttar Pradesh, 222125, India", India, India
124,"Toronto, Golden Horseshoe, Ontario, M5H 2N2, Canada", Canada, Canada
125,"California, United States of America", United States of America, United States of America
127,"香港 Hong Kong, China 中国", China 中国, China
128,"Scotland, United Kingdom", United Kingdom, United Kingdom
129,"Nairobi, Kenya", Kenya, Kenya
130,"Bruton, Somerset, South West England, England, BA10 0EQ, United Kingdom", United Kingdom, United Kingdom
132,"Collegeville, Montgomery County, Pennsylvania, 19426, United States of America", United States of America, United States of America
134,"Lyon, Métropole de Lyon, Circonscription départementale du Rhône, Auvergne-Rhône-Alpes, France métropolitaine, France", France, France
135,United Kingdom,United Kingdom,United Kingdom
136,"Cáceres, Extremadura, España", España, Spain
138,"A-73 S / US-201 / St-Georges / Maine (U.S.A.), Autoroute Jean-Lesage, Charny, Les Chutes-de-la-Chaudière-Est, Lévis, Chaudière-Appalaches, Québec, G6W 8A8, Canada", Canada, Canada
139,"London, Greater London, England, SW1A 2DX, United Kingdom", United Kingdom, United Kingdom
141,"تبریز, بخش مرکزی شهرستان تبریز, شهرستان تبریز, استان آذربایجان شرقی, 5137653515, ایران", ایران,Iran
143,Philippines,Philippines,Philippines
144,"Lyallpur Flour Mill, Sir Shah Muhammad Suleman Road, Ishaqabad, Sharifabad, Gulberg Town, ڪراچي Karachi, Karāchi District, سنڌ, 75900, پاکستان", پاکستان,Pakistan
145,"Columbus, Franklin County, Ohio, United States of America", United States of America, United States of America
146,"New Jersey, United States of America", United States of America, United States of America
147,"Ciudad de México, Cuauhtémoc, Ciudad de México, 06060, México", México, Mexico
148,"Ohio, United States of America", United States of America, United States of America
150,"England, United Kingdom", United Kingdom, United Kingdom
151,"Pennsylvania, United States of America", United States of America, United States of America
152,"Gajac, Ličko-senjska županija, 53295, Hrvatska", Hrvatska, Croatia
153,"Atlanta, Fulton County, Georgia, United States of America", United States of America, United States of America
154,"Awka, Awka South, Anambra, Nigeria", Nigeria, Nigeria
155,Chile,Chile,Chile
156,"Sheffield, Yorkshire and the Humber, England, United Kingdom", United Kingdom, United Kingdom
157,"Washington, District of Columbia, 20500, United States of America", United States of America, United States of America
160,ประเทศไทย,ประเทศไทย,Thailand
161,Civitas Vaticana,Civitas Vaticana,Vatican
162,"Richmond, Richmond City, Virginia, 23298, United States of America", United States of America, United States of America
164,"Mumbai, Mumbai City, Maharashtra, India", India, India
165,"Alacant / Alicante, l'Alacantí, Alacant / Alicante, Comunitat Valenciana, España", España,Spain
166,"Minnesota, United States of America", United States of America, United States of America
168,"Göteborg, Göteborgs Stad, Västra Götalands län, Götaland, Sverige", Sverige,Sweden
169,"Lichfield Road, Brookvale Village, Birmingham, West Midlands Combined Authority, West Midlands, England, B6 5SY, United Kingdom", United Kingdom, United Kingdom
171,"Maryland, United States of America", United States of America, United States of America
173,"Maine, United States of America", United States of America, United States of America
174,"New Orleans, Orleans Parish, Louisiana, United States of America", United States of America, United States of America
175,"Rajgir, Nalanda, Bihar, India", India, India
178,"San Salvador de Jujuy, Municipio de San Salvador de Jujuy, Departamento Doctor Manuel Belgrano, Jujuy, Y4607AAX, Argentina", Argentina, Argentina
179,"Caracas, Municipio Libertador, Distrito Capital, 1010-A, Venezuela", Venezuela, Venezuela
180,"South Texas, San Juan South Estates Colonia, San Juan, Hidalgo County, Texas, 78589, United States of America", United States of America, United States of America
181,"Washington, District of Columbia, 20500, United States of America", United States of America, United States of America
183,"Standort, Trần Hưng Đạo, Lộc Thọ, Nha Trang, Tỉnh Khánh Hòa, 65000, Việt Nam", Việt Nam,Vietnam
184,"سليانة, سليانة الشمالية, سليانة, 6100, تونس", تونس,Tunisia
185,"Mumbai, Mumbai City, Maharashtra, India", India, India
186,"City of Saint Louis, Missouri, United States of America", United States of America, United States of America
187,"Tassia, Téra, Tillabéri, Niger", Niger, Niger
188,"Paris, Île-de-France, France métropolitaine, France", France, France
189,"São Caetano do Sul, Região Imediata de São Paulo, Região Metropolitana de São Paulo, Região Intermediária de São Paulo, São Paulo, Região Sudeste, Brasil", Brasil, Brazil
190,"Texas, United States of America", United States of America, United States of America
191,"Scottsdale, Maricopa County, Arizona, United States of America", United States of America, United States of America
192,"Kuala Lumpur, Malaysia", Malaysia, Malaysia
193,United States,United States,United States
196,"Boston, Suffolk County, Massachusetts, United States of America", United States of America, United States of America
197,"Perak, Malaysia", Malaysia, Malaysia
198,"சென்னை - Chennai, Chennai district, Tamil Nadu, India", India, India
199,"Windermere, Orange County, Florida, United States of America", United States of America, United States of America
200,"Barberton, Summit County, Ohio, 44203, United States of America", United States of America, United States of America
201,"Buenos Aires - Argentina, Piazza Argentina, Zona Buenos Aires, Municipio 3, Milano, Lombardia, 20131, Italia", Italia, Italy
203,"Bengaluru, Bangalore North, Bangalore Urban, Karnataka, India", India, India
204,"東京都, 北区, 日本 (Japan)", 日本 (Japan),Japan
205,"Flat Earth, White Street, Newtown, St Jude's, Bristol, City of Bristol, South West England, England, BS5, United Kingdom", United Kingdom, United Kingdom
206,"Lost, Bellabeg, Aberdeenshire, Scotland, AB36 8UQ, United Kingdom", United Kingdom, United Kingdom
207,"Coffee Shop, National Road 48, ឃុំ​ត្រពាំងរូង, ភូមិខ្សាច់ស, ឃុំ​អណ្ដូងទឹក, ខេត្តកោះកុង, Cambodia", Cambodia, Cambodia
208,"Cocoa, Brevard County, Florida, 32922, United States of America", United States of America, United States of America
209,"Washington, District of Columbia, 20500, United States of America", United States of America, United States of America
210,"Bellingham, Whatcom County, Washington, United States of America", United States of America, United States of America
211,Nicaragua,Nicaragua,Nicaragua
212,"Edmonton, Alberta, Canada", Canada, Canada
213,"Dombivali, Kalyan, Thane, Maharashtra, India", India, India
215,"Daerah Khusus Ibukota Jakarta, Indonesia", Indonesia, Indonesia
217,"Sonoma County, California, United States of America", United States of America, United States of America
218,Malaysia,Malaysia,Malaysia
219,Papua Niugini,Papua Niugini,Papua Niugini
221,"Manresa, Bages, Barcelona, Catalunya, España", España,Spain
222,"Dallas, Dallas County, Texas, United States of America", United States of America, United States of America
223,"Jail, Tagas, Legazpi, Albay, Bicol, 4500, Philippines", Philippines, Philippines
224,"Washington, District of Columbia, 20500, United States of America", United States of America, United States of America
225,ދިވެހިރާއްޖެ,ދިވެހިރާއްޖެ,NAN
226,"Fort Wayne, Allen County, Indiana, United States of America", United States of America, United States of America
227,"Texas, United States of America", United States of America, United States of America
229,Portugal,Portugal,Portugal
230,"武汉市, 江岸区, 武汉市, 湖北省, 430062, China 中国", China 中国,China
231,"New York, United States of America", United States of America, United States of America
232,Nederland,Nederland,Netherlands
233,"Washington Drive, Nostalgia, Calvert County, Maryland, 20685, United States of America", United States of America, United States of America
234,"Αθήνα, Δήμος Αθηναίων, Περιφερειακή Ενότητα Κεντρικού Τομέα Αθηνών, 10667, Ελλάδα", Ελλάδα,Hellas
235,"San Juan de Los Morros, Distrito Roscio, Guárico, 2312, Venezuela", Venezuela, Venezuela
236,"Zaragoza, Aragón, España", España,Spain
237,"Paris, Île-de-France, France métropolitaine, France", France, France
238,"Henderson, Clark County, Nevada, United States of America", United States of America, United States of America
239,"Eastern Time Zone, Barrier Highway, Little Topar, Unincorporated Area, New South Wales, 2880, Australia", Australia, Australia
240,"Pereira, Perimetro Urbano Pereira, Pereira, Risaralda, 660002, Colombia", Colombia, Colombia
241,"Delhi, Kotwali Tehsil, Central Delhi, Delhi, 110006, India", India, India
242,"West Virginia, United States of America", United States of America, United States of America
244,"Banda Aceh, Aceh, Indonesia", Indonesia, Indonesia
245,"Antwerpen, Am Marienhof, Hersel, Bornheim, Rhein-Sieg-Kreis, Nordrhein-Westfalen, 53332, Deutschland", Deutschland, Germany
246,Costa Rica,Costa Rica,Costa Rica
247,"Blank, Frederick County, Maryland, 21773, United States of America", United States of America, United States of America
248,臺灣,臺灣,Taiwan
249,"Dans les bois, Grandville, Gommerville, Chartres, Eure-et-Loir, Centre-Val de Loire, France métropolitaine, 28310, France", France, France
250,Australia,Australia,Australia
251,"Diagon Alley, Crowthorne, Easthampstead, Bracknell Forest, South East, England, GU19 5PN, United Kingdom", United Kingdom, United Kingdom
252,"Aveiro, Baixo Vouga, Centro, 3810-156, Portugal", Portugal, Portugal
253,"Centurion, City of Tshwane Metropolitan Municipality, Gauteng, 0046, South Africa", South Africa, South Africa
254,Nigeria,Nigeria,Nigeria
255,"Durban, eThekwini Metropolitan Municipality, KwaZulu-Natal, 4057, South Africa", South Africa, South Africa
256,"Biblian, Cañar, 030106, Ecuador", Ecuador, Ecuador
258,"Sant Cugat del Vallès, Vallès Occidental, Barcelona, Catalunya, España", España,Spain
260,México,México,Mexico
261,"Vancouver, Clark County, Washington, United States of America", United States of America, United States of America
263,"Cape Town, City of Cape Town, Western Cape, 8001, South Africa", South Africa, South Africa
264,"Heavens Gate, Idaho County, Idaho, United States of America", United States of America, United States of America
265,"Rhode Island, United States of America", United States of America, United States of America
266,"João Monlevade, Microrregião Itabira, Mesorregião Metropolitana de Belo Horizonte, Minas Gerais, Região Sudeste, Brasil", Brasil, Brazil
267,Монгол улс,Монгол улс,Mongolia
268,"東京都, 日本 (Japan)", 日本 (Japan), Japan
269,"大阪, 南コンコース, 堂山町, 梅田三丁目, 北区, 大阪市, 大阪府, 530-0001, 日本 (Japan)", 日本 (Japan), Japan
270,Philippines,Philippines,Philippines
271,"Manchester United, Tavarekere Main Road, Sadgunte Palya, Suddagunte Palya Ward, South Zone, Bengaluru, Bangalore South, Bangalore Urban, Karnataka, 560029, India", India, India
273,"서울, 대한민국", 대한민국,Republic of Korea
274,"Köln, Nordrhein-Westfalen, Deutschland", Deutschland, Germany
275,"Worldwide, Crescent Road, Crumpsall, Manchester, Greater Manchester, North West England, England, M8 9JX, United Kingdom", United Kingdom, United Kingdom
276,"Frankfurt am Main, Hessen, Deutschland", Deutschland, Germany
278,"Empress Elisabeth of Austria (""Sisi""), Αχιλλείου, Πικουλάτικα, Γαστούρι, Δήμος Κέρκυρας, Περιφερειακή Ενότητα Κέρκυρας, Περιφέρεια Ιονίων Νήσων, Πελοπόννησος, Δυτική Ελλάδα και Ιόνιο, 49084, Ελλάδα", Ελλάδα, Hellas
279,"Montréal, Agglomération de Montréal, Montréal (06), Québec, Canada", Canada, Canada
281,"Jakarta, West Service Road, Barangay 201, Zone 20, Parañaque, Metro Manila, 1713, Philippines", Philippines, Philippines
282,"Chicago, Cook County, Illinois, United States of America", United States of America, United States of America
284,"New York, United States of America", United States of America, United States of America
285,"Knowhere, King County, Washington, United States of America", United States of America, United States of America
286,"Vaughan, York Region, Golden Horseshoe, Ontario, Canada", Canada, Canada
287,"İstanbul, Marmara Bölgesi, Türkiye", Türkiye,Turkey
288,"東京都, 小金井市, 日本 (Japan)", 日本 (Japan), Japan
289,"Golden State, Washington Place Phase 2, Washington Place, Cavite, Calabarzon, 4114, Philippines", Philippines, Philippines
290,"❤️, 3, حي المصطفى, أبو عزيز, بعقوبة, 32010, Iraq", Iraq, Iraq
293,España,España,Spain
295,Colombia,Colombia,Colombia
296,Rwanda,Rwanda,Rwanda
297,Italia,Italia,Italy
298,Asia,Asia,Asia
299,"Winterfell, Barranmühle, Schipkau, Oberspreewald-Lausitz, Brandenburg, 01994, Deutschland", Deutschland, Germany
300,"Los Angeles, Los Angeles County, California, United States of America", United States of America, United States of America
301,"Hampton, Talbot County, Maryland, 21673, United States of America", United States of America, United States of America
302,Venezuela,Venezuela,Venezuela
303,"Internet, Commune de Saint Michel de l'Attalaye, Arrondissement de Marmelade, Département de l'Artibonite, Haiti", Haiti, Haiti
304,"São Paulo, Região Imediata de São Paulo, Região Metropolitana de São Paulo, Região Intermediária de São Paulo, São Paulo, Região Sudeste, Brasil", Brasil, Brazil
305,"San Jose del Monte, Bulacan, Central Luzon, 3023, Philippines", Philippines, Philippines
306,"Delmas, Arrondissement de Port-au-Prince, Département de l'Ouest, 6123, Haiti", Haiti, Haiti
307,"New South Wales, Australia", Australia, Australia
308,"Spokane, Spokane County, Washington, United States of America", United States of America, United States of America
309,"Valentim Gentil, Região Imediata de Votuporanga, Região Intermediária de São José do Rio Preto, São Paulo, Região Sudeste, Brasil", Brasil, Brazil
311,"London Borough of Newham, London, Greater London, England, United Kingdom", United Kingdom, United Kingdom
312,"Fairfax, Leeds and Grenville Counties, Eastern Ontario, Ontario, Canada", Canada, Canada
313,"Buenos Aires, Ciudad Autónoma de Buenos Aires, Argentina", Argentina, Argentina
314,"Middle of Nowhere, Whistler Creekside, Whistler Resort Municipality, Squamish-Lillooet Regional District, British Columbia, V0N 1B2, Canada", Canada, Canada
315,"Adelaide, Adelaide City Council, South Australia, 5000, Australia", Australia, Australia
316,"Yay, ເມືອງພູກູດ, ຊຽງຂວາງ, Laos", Laos, Laos
317,"القاهرة, محافظة القاهرة, Egypt / مصر", Egypt / مصر,Egypt
318,"Tucson, Pima County, Arizona, United States of America", United States of America, United States of America
320,"北京市, 东城区, 北京市, 100010, China 中国", China 中国,China
321,"Antwerpen, Vlaanderen, België - Belgique - Belgien", België - Belgique - Belgien,Belgium
322,"New York, United States of America", United States of America, United States of America
327,"Jaya, Aceh Jaya, Aceh, Indonesia", Indonesia, Indonesia
328,"Lokoja, Kogi, Nigeria", Nigeria, Nigeria
330,"San Nicolás de los Arroyos, Partido de San Nicolás, Buenos Aires, Argentina", Argentina, Argentina
331,"London, Greater London, England, SW1A 2DX, United Kingdom", United Kingdom, United Kingdom
332,"Coquitlam, Metro Vancouver Regional District, British Columbia, Canada", Canada, Canada
333,"Bauan, Batangas, Calabarzon, 4201, Philippines", Philippines, Philippines
335,"New York, United States of America", United States of America, United States of America
336,"Detroit, Wayne County, Michigan, United States of America", United States of America, United States of America
337,France,France,France
338,"រាជធានីភ្នំពេញ, ខណ្ឌដូនពេញ, រាជធានីភ្នំពេញ, 11213, Cambodia", Cambodia, Cambodia
339,España,España,Spain
340,"Jönköpings län, Götaland, Sverige", Sverige, Sweden
341,"Binangonan, Rizal, Calabarzon, 1940, Philippines", Philippines, Philippines
342,"Lake Wobegon, 210th Avenue, Stearns County, Minnesota, 56307, United States of America", United States of America, United States of America
343,"Βάρης, Δήμος Γρεβενών, Περιφερειακή Ενότητα Γρεβενών, Περιφέρεια Δυτικής Μακεδονίας, Ήπειρος - Δυτική Μακεδονία, 51100, Ελλάδα", Ελλάδα,Hellas
344,"Harare, Harare Province, 04-263, Zimbabwe", Zimbabwe, Zimbabwe
345,"Ranai, Natuna, Kepulauan Riau, Indonesia", Indonesia, Indonesia
346,"Paris, Île-de-France, France métropolitaine, France", France, France
347,"Uttar Pradesh, India", India, India
348,Κύπρος - Kıbrıs,Κύπρος - Kıbrıs,Cyprus
349,"Srirampura, Mahakavi Kuvempu Road, Gayatri Nagara, West Zone, Bengaluru, Bangalore North, Bangalore Urban, Karnataka, 560021, India", India, India
350,"東京都, 板橋区, 日本 (Japan)", 日本 (Japan), Japan
351,"Huntington Bank ATM, Lee Street East, East Side, Charleston, Kanawha County, West Virginia, 25326, United States of America", United States of America, United States of America
353,"Denizli, Ege Bölgesi, Türkiye", Türkiye,Turkey
354,"Connecticut, United States of America", United States of America, United States of America
357,"Tennessee, United States of America", United States of America, United States of America
358,"Rio de Janeiro, Região Geográfica Imediata do Rio de Janeiro, Região Metropolitana do Rio de Janeiro, Região Geográfica Intermediária do Rio de Janeiro, Rio de Janeiro, Região Sudeste, Brasil", Brasil, Brazil
359,"New England, Cape Cod, Oxford County, Maine, United States of America", United States of America, United States of America
360,"World, Victoria Street, Mitchelltown, Te Aro, Wellington, Wellington City, Wellington, 6040, New Zealand", New Zealand, New Zealand
362,"Las Vegas, Clark County, Nevada, United States of America", United States of America, United States of America
364,"Hyde Park, Chicago, Cook County, Illinois, United States of America", United States of America, United States of America
366,"Illinois, United States of America", United States of America, United States of America
367,भारत - India,भारत - India,India
369,Deutschland,Deutschland,Germany
370,"Ninoy Aquino International Airport, Skyway, Humabon Place, Magallanes, Zone 20, Taguig, Makati 1st District, Metro Manila, 1232, Philippines", Philippines, Philippines
371,"Comunidad de Madrid, España", España,Spain
372,"Taman Balai Kota Surabaya, RW 05, Genteng, Ketabang, Genteng, Surabaya, Jawa Timur, 60272, Indonesia", Indonesia, Indonesia
374,"Tennessee, United States of America", United States of America, United States of America
375,"Puebla, México", México,Mexico
377,"Indian Land, United States of America", United States of America, United States of America
380,"Florida, Barrio Albarracín Godoy, El Mirador, Distrito El Mirador, Departamento Rivadavia, Mendoza, Argentina", Argentina, Argentina
381,"Kota Yogyakarta, Daerah Istimewa Yogyakarta, Indonesia", Indonesia, Indonesia
382,"Houston, Harris County, Texas, 77002-5902, United States of America", United States of America, United States of America
383,"Skipper, Wakulla County, Florida, 32346-2153, United States of America", United States of America, United States of America
385,"Red Lane, Lowdham CP, Newark and Sherwood, Nottinghamshire, East Midlands, England, NG14 7AX, United Kingdom", United Kingdom, United Kingdom
386,"دبي, 24857, United Arab Emirates", United Arab Emirates, United Arab Emirates
388,"León, Guanajuato, 37000, México", México, Mexico
389,"Madrid, Área metropolitana de Madrid y Corredor del Henares, Comunidad de Madrid, 28001, España", España,Spain
390,"Nairobi, Kenya", Kenya, Kenya
391,"Summer Village of Half Moon Bay, Alberta, Canada", Canada, Canada
392,"Greenville, Greenville County, Indian Land, United States of America", United States of America, United States of America
393,Côte d’Ivoire,Côte d’Ivoire,Ivory Coast
394,Монгол улс,Монгол улс,Mongolia
395,"Bless Your Heart Burgers, 5410, Northeast 33rd Avenue, Concordia, Portland, Multnomah County, Oregon, 97211, United States of America", United States of America, United States of America
396,"Cicia Airport, Tarakau, Eastern, Fiji", Fiji, Fiji
397,"Multi, Pio XII, Chimbacalle, Quito, Pichincha, 170121, Ecuador", Ecuador, Ecuador
398,"Mays Landing, Lenape Avenue, Harding Lakes, Hamilton Township, Atlantic County, New Jersey, 08330, United States of America", United States of America, United States of America
399,"Earth, Lamb County, Texas, United States of America", United States of America, United States of America
400,"Grenoble, Isère, Auvergne-Rhône-Alpes, France métropolitaine, France", France, France
401,"Kingston, Eastern Ontario, Ontario, K7L 2Z3, Canada", Canada, Canada
402,"Zaragoza, Aragón, España", España,Spain
403,"Toulouse, Haute-Garonne, Occitanie, France métropolitaine, France", France, France
405,Canada,Canada,Canada
407,"North Wales, Montgomery County, Pennsylvania, United States of America", United States of America, United States of America
408,"Navotas, Metro Manila, 1485, Philippines", Philippines, Philippines
411,"กรุงเทพมหานคร, เขตพระนคร, 10200, ประเทศไทย", ประเทศไทย, Thailand
413,"San Diego, San Diego County, California, United States of America", United States of America, United States of America
414,"Interfruit / IFC / FishCo / FWi, Birch Road, Brookvale Village, Birmingham, West Midlands Combined Authority, West Midlands, England, B6, United Kingdom", United Kingdom, United Kingdom
415,"Planet Earth, Sarjapura Road, Gunjur Hosahalli, Ambedkar Nagara, Bangalore East, Bangalore Urban, Karnataka, 562125, India", India, India
416,"Jaipur, Jaipur Tehsil, Jaipur, Rajasthan, 302001, India", India, India
417,"Maharashtra, India", India, India
418,"Seoul Garden, Monkey Street, Candi Kuning, Bali, 81162, Indonesia", Indonesia, Indonesia
419,"Nairobi, Kenya", Kenya, Kenya
422,"San Francisco Bay Area, San Francisco, San Francisco City and County, California, 94130, United States of America", United States of America, United States of America
423,"Denver, Denver County, Colorado, United States of America", United States of America, United States of America
424,"Massachusetts, United States of America", United States of America, United States of America
425,"北海道, 足寄町, 足寄郡, 十勝総合振興局, 北海道, 日本 (Japan)", 日本 (Japan), Japan
426,"Texas, Alta Vista Norte, Alta Vista Sur, Ciudad Guayana (Puerto Ordaz), Parroquia Universidad, Distrito Caroní, Bolívar, 8050, Venezuela", Venezuela, Venezuela
427,"Around the World, Whistler Olympic Park, Squamish-Lillooet Regional District, British Columbia, Canada", Canada, Canada
428,"South Orange, Essex County, New Jersey, United States of America", United States of America, United States of America
429,"Manado, Sulawesi Utara, 95111, Indonesia", Indonesia, Indonesia
431,Singapore,Singapore,Singapore
432,"Miami, Miami-Dade County, Florida, United States of America", United States of America, United States of America
433,"Northern Penstock, Napa County, California, United States of America", United States of America, United States of America
434,"La Far-Away, La Moulière, Caille, Grasse, Alpes-Maritimes, Provence-Alpes-Côte d'Azur, France métropolitaine, 06750, France", France, France
436,"Elk Grove, Sacramento County, California, United States of America", United States of America, United States of America
